machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.0333,71111110.0,100027780.0,10694444.0,250750000.0,0.0,0.0,0.0,0.0,2441.0557,5215187.5,1090297.0,525.05554,30141.902,4555555.5,0.13140899,1.0
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.0333,87194450.0,123111110.0,13694444.0,308416670.0,0.0,0.0,0.0,0.0,3709.514,7202533.0,1510570.6,525.05554,30141.902,6166666.5,0.17138718,1.0
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.0333,118916664.0,168555550.0,18250000.0,422416670.0,0.0,0.0,0.0,0.0,5539.5693,9971515.0,2139678.5,525.05554,30141.902,8611111.0,0.14272444,1.0
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.0833,380074080.0,778592600.0,317407400.0,2321629700.0,13703704.0,6518518.5,1407407.4,0.0,267868.47,511496030.0,89948450.0,61272.074,2105566.5,112296296.0,0.65323734,0.19927971
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.0333,102694450.0,149638900.0,17194444.0,374750000.0,0.0,0.0,0.0,0.0,7393.597,13828718.0,3005817.8,525.05554,30141.902,13972222.0,0.21141165,1.0
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.0833,585481500.0,1156814800.0,497925920.0,3529703700.0,18592592.0,9111111.0,2444444.5,518518.53,379011.72,731046500.0,132402550.0,61295.258,2105567.5,165703700.0,0.92180616,0.19927971
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.0333,114472220.0,168916670.0,20638888.0,423583330.0,0.0,27777.777,0.0,0.0,10375.806,18990454.0,4111417.0,525.05554,30141.902,16083333.0,0.2896077,1.0
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.0833,755407400.0,1519407400.0,652296300.0,4616148000.0,24888888.0,12740741.0,3333333.2,1407407.4,507049.03,978434400.0,175220660.0,58674.85,2105431.2,224518510.0,1.2560699,0.19927971
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.0333,151666670.0,223750000.0,26583334.0,561527800.0,27777.777,0.0,0.0,0.0,13239.625,24948768.0,5322110.0,525.05554,30141.902,25388888.0,0.31323522,1.0
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.1,1018518500.0,2061703700.0,837629630.0,6153481700.0,22296296.0,17703704.0,3259259.2,1703703.8,670280.5,1297236200.0,239312600.0,61272.11,2105566.5,301925920.0,1.6197932,0.166
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.05,143166670.0,216305550.0,27694444.0,543611140.0,27777.777,27777.777,0.0,0.0,16643.125,31388692.0,6880361.0,525.05554,30141.902,29638888.0,0.38413817,0.666
quartz,-0.92880774,-0.6542439,0.94665194,-0.37518108,0.50425863,-0.6863393,0.80509937,0.8217728,-1.0920815,0.3227621,-0.31616428,0.073169425,0.4379732,1.3397046,-0.63257754,0.1166,1281037000.0,2589333200.0,1076592600.0,7785259000.0,34740740.0,23037038.0,5481481.5,1777777.8,910333.6,1763247000.0,309642620.0,56077.594,2105295.8,396888900.0,2.0937595,0.14236706
