machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_2_1
quartz,TestDfft,1178000000,1196000000,646000000,6298000000,64000000,82000000,34000000,40000000,3028,99499593,3349460,37797,2173193,268000000,1
quartz,TestDfft,2064000000,2236000000,1224000000,11432000000,104000000,142000000,64000000,78000000,2585,202560745,7721012,37804,2173201,714000000,1.5
quartz,TestDfft,358000000,810500000,372437500,2650562500,5187500,4000000,1187500,0,1118.46875,76874693.81,46372219.47,69909.84375,2106280.188,33500000,1.750750751
quartz,TestDfft,2466000000,2954000000,1630000000,14710000000,246000000,242000000,110000000,116000000,3060,152771732,2831102,37804,2173200,2554000000,2.400960384
quartz,TestDfft,349937500,567125000,256812500,1943062500,7750000,6000000,3750000,2000000,1112.71875,23302186.06,54848194.16,69909.84375,2106280.188,67250000,3.601440576
quartz,TestDfft,3100000000,2878000000,1562000000,16042000000,304000000,226000000,148000000,124000000,2036,216107024,3715511,37804,2173819,802000000,10.333
quartz,TestDfft,4636000000,4402000000,2386000000,24250000000,320000000,398000000,170000000,194000000,1731,317196248,5572217,37804,2173201,2760000000,0.181669394
quartz,TestDfft,752750000,1186437500,535687500,4073062500,11500000,11812500,4000000,3375000,1084.90625,67392550.97,116467298.6,69877.84375,2106279.188,162000000,0.249812453
quartz,TestDfft,6590000000,6574000000,3392000000,35102000000,488000000,484000000,268000000,282000000,2075,470206041,9402284,37804,2173199,2346000000,0.583
quartz,TestDfft,8916000000,8066000000,4378000000,45796000000,512000000,674000000,342000000,388000000,3441,554798441,6150266,37804,2173201,3414000000,4.313578395
quartz,TestDfft,1404437500,1879375000,847562500,6691437500,24062500,22000000,9000000,6000000,1094.6875,75927187.59,208750965.8,69909.84375,2106280.188,323062500,0.249812453
quartz,TestDfft,12026000000,12740000000,6718000000,66508000000,770000000,886000000,450000000,510000000,2794,667214692,2140012,37804,2173832,3726000000,0.099909991
quartz,TestDfft,15412000000,13574000000,7810000000,78274000000,1042000000,1350000000,578000000,674000000,3143,988375427,12387149,37804,2173212,7256000000,0.319971195
quartz,TestDfft,2774000000,3772125000,1704000000,13240000000,32437500,36000000,13812500,14000000,1114,149944864.9,359892085.1,69909.84375,2106280.531,481687500,5.902160864
quartz,TestDfft,18550000000,15452000000,9102000000,91458000000,1952000000,1634000000,1606000000,1130000000,2595,1046559997,4282318,37804,2173212,11742000000,0.048734085
quartz,TestDfft,3287250000,3942500000,1750937500,14094000000,51500000,52000000,23625000,24125000,1081.03125,66733339.97,499107790.7,69909.84375,2106280.531,812062500,0.285591767
quartz,TestDfft,52000000,92000000,46000000,384000000,4000000,4000000,2000000,0,2197,22257308,669218,37804,2173178,24000000,4.012048193
quartz,TestDfft,54312500,105687500,41187500,306687500,,,,,1110.5625,4342227.188,11126254.91,69877.84375,2106278.5,1562500,2.252252252
quartz,TestDfft,338000000,560000000,308000000,2486000000,42000000,36000000,12000000,10000000,2871,112093988,1709704,37804,2173189,166000000,7.006006006
quartz,TestDfft,93562500,208250000,89937500,639250000,62500,0,0,0,1111.625,13121830.88,18075436.22,69909.84375,2106279.844,9750000,5.402160864
quartz,TestDfft,2930000000,3354000000,1852000000,17024000000,288000000,284000000,120000000,126000000,3132,177961457,2891119,37804,2173773,2706000000,2.166
quartz,TestDfft,410750000,638062500,287000000,2196875000,7500000,8000000,4000000,2000000,1119.5625,24048074.84,65251467.56,69909.84375,2106298.063,74937500,25.52552553
quartz,TestDfft,22246000000,18504000000,10902000000,1.09698E+11,2144000000,1962000000,1842000000,1306000000,2446,1249692130,4315438,37804,2173786,13906000000,0.02032819
quartz,TestDfft,3863812500,4592875000,2035500000,16475562500,53437500,62000000,25812500,29437500,1067.96875,72088096.06,639656522.9,69909.84375,2106298.469,1028375000,0.222
quartz,TestDfft,60000000,98000000,50000000,422000000,6000000,4000000,2000000,0,2470,21382518,642229,37804,2173747,32000000,7.006006006
quartz,TestDfft,61750000,117250000,44937500,338125000,,,,,1084.875,4280209.469,13688599.47,69876.875,2106296.219,2000000,19.60744298
quartz,TestDfft,396000000,610000000,338000000,2782000000,50000000,40000000,16000000,12000000,3462,113211236,1649389,37804,2173760,140000000,1
quartz,TestDfft,105437500,225250000,96375000,690625000,1375000,0,0,0,1094.28125,13210699.81,19645789.38,69909.84375,2106297.656,11750000,0.5
quartz,TestDfft,3394000000,3746000000,2070000000,19306000000,412000000,324000000,176000000,158000000,3755,205100345,2899514,37804,2174345,3058000000,0.714408233
quartz,TestDfft,473500000,711875000,318062500,2460687500,9562500,9187500,4000000,4000000,1115.46875,24853935,76569932.63,69909.84375,2106315.938,83562500,1.800720288
quartz,TestDfft,25870000000,22056000000,12610000000,1.29588E+11,2708000000,2288000000,2244000000,1576000000,4000,1450949192,4359847,37804,2174360,20566000000,0.19997818
quartz,TestDfft,4367875000,5131937500,2287125000,18538625000,62625000,72000000,30500000,34562500,1109.15625,79246514.81,740330605.9,69909.84375,2106316.406,1199687500,1.800720288
quartz,TestDfft,68000000,106000000,54000000,460000000,6000000,6000000,2000000,0,3012,18285747,637961,37804,2174314,34000000,35.13855422
quartz,TestDfft,68000000,127062500,48312500,364062500,,,,,1133.59375,4327184.719,15255309.16,69877.84375,2106314,2000000,22.02102102
quartz,TestDfft,456000000,662000000,366000000,3086000000,56000000,46000000,18000000,14000000,3490,115248289,1679490,37804,2174330,150000000,1
quartz,TestDfft,116875000,241000000,102250000,739000000,1625000,0,0,0,1079.8125,13278182.88,21412404.22,69877.84375,2106314.469,13187500,0.600240096
