machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration
ruby,amg,0,0,0,2000000,,,,,0,132.21875,18824.6875,105803.9375,2107258.938,0,0.1
ruby,amg,0,0,0,2000000,,,,,0,90.84375,16731.59375,105803.9375,2107258.938,0,0.0666
ruby,amg,0,0,0,2000000,,,,,0,102.96875,17162.46875,105835.9375,2107259.938,0,0.1
ruby,amg,0,0,0,2000000,,,,,0,115.34375,16228.71875,105835.9375,2107259.938,0,0.0833
ruby,amg,0,0,0,2000000,,,,,0,123.40625,17322.1875,105803.9375,2107258.938,0,0.0833
ruby,amg,16603375000,26143437500,7385312500,73890187500,175625000,20812500,18812500,7500000,664.375,990987274,1225451157,59583.53125,2105406.625,464187500,0.4
ruby,amg,53187500,76812500,23000000,222312500,0,0,0,0,1158.8125,1855402.281,4372343.313,89282.75,2106608.563,2187500,0.1
ruby,amg,156937500,291437500,56625000,747312500,1625000,125000,0,0,854.96875,14812022.66,15478628.63,99230.34375,2107010.594,11625000,0.0833
ruby,amg,1351250000,2423062500,552875000,6421375000,18687500,3125000,2062500,437500,908.1875,122732127.5,154860009.6,69494.53125,2105807.563,60812500,0.1166
ruby,amg,38062500,47937500,18625000,149750000,0,0,0,0,1127.875,225846.1563,2864124.031,89318.25,2106609.625,875000,0.0833
ruby,amg,5574928571,9514375000,788267857.1,22309464286,67375000,8625000,14589285.71,4071428.571,35.26785714,314966636.6,158337944.9,938.7232143,19688.65179,887000000,0.3833
ruby,amg,246678571.4,341250000,34000000,852107142.9,17857.14286,17857.14286,0,0,30.125,566510.5179,378250.5714,938.7142857,19688.64286,5428571.429,0.05
ruby,amg,20875196429,43763410714,3108696429,97328625000,593803571.4,52839285.71,77982142.86,24178571.43,35.625,2534970395,1266740050,938.7232143,19688.65179,3341892857,2.25
ruby,amg,344464285.7,498696428.6,47785714.29,1228696429,839285.7143,35714.28571,0,0,32.19642857,4725014.616,2554051.723,938.7232143,19688.65179,13553571.43,0.0333
ruby,amg,1308785714,2022750000,181017857.1,4882142857,9785714.286,142857.1429,3053571.429,17857.14286,36.60714286,38899152.31,19966189.54,938.7232143,19688.65179,56642857.14,0.1
ruby,amg,91071428.57,124946428.6,12428571.43,313196428.6,0,0,0,0,20.14285714,64705.76786,81493.16964,938.7142857,19688.64286,1642857.143,0.05
ruby,amg,1.2612E+11,2.20434E+11,50023000000,5.82851E+11,1793437500,197000000,217312500,96250000,952,10555042453,17283776754,86040.5,2106476.75,7203875000,3.0666
ruby,amg,365437500,601937500,180250000,1662812500,7687500,2937500,0,500000,894.15625,21628209.75,39960093.91,69495.8125,2105807.625,24437500,0.0833
ruby,amg,1451000000,2858812500,578750000,7212375000,31625000,7375000,2062500,1625000,887.03125,165448082.5,203139864.7,59584.53125,2105406.5,107000000,0.1166
ruby,amg,11368687500,22478500000,4630000000,56789000000,208687500,35875000,28437500,12625000,972.71875,1310616254,1706953674,82710.78125,2106342.313,956375000,0.3833
ruby,amg,211875000,291875000,103500000,866437500,5312500,1875000,0,0,870.09375,2939908.594,17183241.94,89316.5625,2106609.5,18500000,0.0833
