machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,duration_ratio_1_2
ruby,deepcam,3753125000,5722982143,743607142.9,14413857143,23714285.71,14000000,1732142.857,178571.4286,447842.9911,923562974.6,112409884.5,938.7232143,19688.72321,675821428.6,1.071581655
ruby,deepcam,26560222222,64855407407,23312888889,1.82854E+11,920111111.1,619814814.8,117814814.8,67222222.22,24390362.26,46423496121,8377999334,52605.64815,1053633.556,7695555556,1.437485937
ruby,deepcam,3895142857,5948785714,776750000,14988196429,24714285.71,14232142.86,1803571.429,196428.5714,475332.0268,985671100.3,116074916.5,938.7232143,19688.71429,785000000,1.214316331
ruby,deepcam,27875814815,68563481481,24705259259,1.93254E+11,961962963,656222222.2,118925925.9,71666666.67,25882447.19,49246459599,8777393741,50659.40741,1053565.796,8406370370,1.464285714
ruby,deepcam,3953250000,6068625000,799982142.9,15291107143,26375000,16071428.57,1821428.571,214285.7143,503566.2679,1036285270,124630133.8,938.7232143,19688.72321,772767857.1,1.1332
ruby,deepcam,29397703704,72401185185,26206814815,2.04249E+11,1033185185,693814814.8,130555555.6,74259259.26,27435315.35,52186947109,9363909085,52605.16667,1053633.537,8970111111,1.449470775
ruby,deepcam,4070446429,6264964286,831839285.7,15793321429,28107142.86,16214285.71,1892857.143,339285.7143,533252.7679,1077474857,130090709.3,938.7321429,19688.71429,813017857.1,1.285897985
ruby,deepcam,31144185185,76613555556,27822962963,2.16348E+11,1089370370,736777777.8,140222222.2,80555555.56,29046672.22,55241326024,9898084435,50646.38889,1053565.315,9554037037,1.489403804
ruby,deepcam,4887321429,7422017857,953267857.1,18692982143,37089285.71,18053571.43,1946428.571,303571.4286,563871.6161,1126975207,137064967.6,938.7232143,19688.71429,875964285.7,1.058948112
ruby,deepcam,30900518519,78395148148,28183888889,2.2006E+11,1550222222,776592592.6,145814814.8,84296296.3,30721870.06,58431366662,10648428838,50658.90741,1053565.778,10208703704,1.494909091
ruby,deepcam,4914517857,7502267857,975035714.3,18899017857,32553571.43,18071428.57,1892857.143,785714.2857,595454.3393,1184822412,149555324,938.7232143,19688.71429,1030482143,1.11754324
ruby,deepcam,35375074074,86306666667,31607148148,2.4465E+11,1231185185,816740740.7,149074074.1,88481481.48,32254801.48,61332182865,11318773754,50659.38889,1053565.796,11036185185,1.509453187
ruby,deepcam,4767964286,7341982143,975000000,18508035714,34142857.14,19660714.29,1982142.857,732142.8571,628542.2589,1251816772,152597602.1,938.7232143,19688.71429,1063571429,1.235439463
ruby,deepcam,36287851852,89537444444,33005851852,2.53861E+11,1322777778,873185185.2,163888888.9,93111111.11,34262917.11,65150691607,11883822291,50658.90741,1053565.778,11953074074,1.469017151
ruby,deepcam,5369589286,8209750000,1072732143,20681464286,34553571.43,20321428.57,1946428.571,2017857.143,662868.0536,1314172347,160487397.9,938.7232143,19688.72321,1121982143,1.157927985
ruby,deepcam,36392592593,92343629630,33789518519,2.60443E+11,1352888889,913407407.4,172148148.1,99592592.59,36131093.72,68704443252,12735604475,50672.38889,1053566.278,12553629630,1.470579337
ruby,deepcam,5212178571,8041303571,1072071429,20272232143,36196428.57,21892857.14,2017857.143,1928571.429,698342.8036,1389291579,173340694.4,938.7232143,19688.72321,1167535714,1.210675932
ruby,deepcam,37801444444,96327185185,35183481481,2.71434E+11,1454666667,958666666.7,178703703.7,103074074.1,38066403.72,72377962194,13414235299,50672.38889,1053566.278,13486851852,1.452380952
ruby,deepcam,5893732143,9022839286,1179892857,22730660714,38892857.14,22410714.29,2178571.429,2160714.286,734919.5982,1464167056,181539986.6,938.7232143,19688.72321,1112642857,1.095142857
ruby,deepcam,43172296296,1.05539E+11,39265185185,3.00262E+11,1492444444,1012629630,187444444.4,109481481.5,40068912,76185817567,14135394312,52605.16667,1053633.537,14470222222,1.455245601
ruby,deepcam,5976750000,9183607143,1212839286,23142767857,41428571.43,24446428.57,2821428.571,2250000,773014.8929,1535392648,186043448.8,938.7232143,19688.71429,1387910714,1.091107474
ruby,deepcam,43495777778,1.08992E+11,40496037037,3.08863E+11,1594740741,1072666667,198444444.4,114074074.1,41874333.43,79600343518,14419809561,50659.38889,1053565.796,15054481481,1.450731007
ruby,deepcam,2028035714,3075910714,395785714.3,7747053571,12696428.57,6071428.571,17857.14286,89285.71429,229752.4554,489572121,56642899.6,938.7232143,19688.71429,333410714.3,1
ruby,deepcam,12858814815,32408592593,11487629630,90693481481,510037037,316814814.8,57185185.19,34407407.41,12490143.78,23895251840,4191031004,52605.16667,1053633.537,4225407407,1.540707103
